PCode,U1DD10_01,U1DD10_02,U1DD10_03,U1DD10_04,U1DD10_05,U2DD10_01,U2DD10_02,U2DD10_03,U2DD10_04,U2DD10_05,Vorher,Nachher
Al0519,,2,,3,,4,4,3,2,,2,3.666666667
An0424,3,2,,1,2,4,4,,1,2,2.5,4
An0505,4,1,5,2,1,4,2,5,1,1,3.333333333,3.666666667
An0709,2,4,4,1,1,4,5,5,1,2,3.333333333,4.666666667
An0827,4,,,2,2,4,4,4,2,2,4,4
Be0322,3,1,4,4,4,3,1,4,4,4,2.666666667,2.666666667
Be0726,4,3,4,1,2,4,5,4,1,1,3.666666667,4.333333333
BI0419,2,3,4,2,2,3,4,3,2,,3,3.333333333
Bi0628,3,2,3,2,3,4,4,3,5,3,2.666666667,3.666666667
Ca0116,2,2,2,1,3,4,4,4,2,2,2,4
Ch0714,2,3,3,1,3,4,4,4,1,3,2.666666667,4
Ch0930,4,4,4,1,3,2,5,4,1,3,4,3.666666667
Co0219,,4,4,2,3,4,4,4,1,3,4,4
Da0615,2,3,2,1,2,4,5,4,2,3,2.333333333,4.333333333
Da1419,4,4,4,1,2,2,4,2,1,2,4,2.666666667
Do0221,3,2,,2,2,4,4,4,2,2,2.5,4
Do0412,2,4,3,3,2,2,4,4,3,2,3,3.333333333
Do0504,4,4,4,2,3,2,4,4,3,3,4,3.333333333
Do0719,2,3,5,4,4,4,5,4,1,2,3.333333333,4.333333333
Do0904,3,4,4,3,3,4,5,5,2,4,3.666666667,4.666666667
Ev1127,4,4,4,4,5,3,4,4,3,2,4,3.666666667
Fr0903,3,4,4,5,2,4,4,4,4,4,3.666666667,4
Ga0912,1,2,3,1,3,4,5,5,4,2,2,4.666666667
He0726,2,4,,1,2,2,4,3,1,3,3,3
He0812,,3,4,2,3,3,4,,2,2,3.5,3.5
iv0310,1,4,4,2,3,4,4,4,2,4,3,4
Ja0126,4,3,3,1,3,1,4,4,2,3,3.333333333,3
Ja0309,4,4,4,2,2,2,4,4,2,3,4,3.333333333
Ju0723,3,4,4,2,4,4,4,4,1,2,3.666666667,4
ka0812,4,3,3,4,,2,4,4,3,4,3.333333333,3.333333333
Ke0719,3,4,2,3,2,4,4,3,3,4,3,3.666666667
Ke1719,,4,4,2,3,3,5,4,5,5,4,4
KH1225,2,3,3,3,3,4,4,3,3,4,2.666666667,3.666666667
Ki1129,4,4,4,1,3,4,5,4,1,2,4,4.333333333
Ki2723,5,4,4,1,3,5,5,4,1,3,4.333333333,4.666666667
Lu1210,,2,,3,2,3,2,4,3,,2,3
Ma0210,3,3,,2,,3,4,,2,2,3,3.5
Ma0322,2,,3,1,3,2,4,3,1,3,2.5,3
Ma0512,3,4,4,3,3,3,5,4,3,2,3.666666667,4
Ma0619,4,4,4,1,4,4,4,4,2,3,4,4
Ma0628,4,4,4,1,1,4,4,4,1,1,4,4
Ma0702,3,2,4,2,4,4,4,4,2,4,3,4
Ma0711,3,4,3,1,2,3,4,4,3,3,3.333333333,3.666666667
Ma1187,3,2,,4,3,4,4,,4,2,2.5,4
ma1223,,2,2,2,2,3,4,4,3,2,2,3.666666667
me0217,2,2,3,3,2,3,4,4,3,2,2.333333333,3.666666667
Me0523,3,4,3,2,4,5,4,4,2,3,3.333333333,4.333333333
Me0718,4,4,5,1,3,5,4,4,1,2,4.333333333,4.333333333
Ni0826,,4,4,1,2,4,4,4,1,2,4,4
Ni1123,2,4,4,2,3,4,5,4,2,2,3.333333333,4.333333333
Ni1229,4,4,5,1,2,4,4,5,1,2,4.333333333,4.333333333
Ol0915,3,4,4,1,3,4,4,4,1,3,3.666666667,4
Pe1027,2,2,3,1,4,3,4,4,2,3,2.333333333,3.666666667
Si0117,3,4,4,2,2,3,4,4,2,3,3.666666667,3.666666667
So0419,3,5,4,2,2,4,5,4,2,1,4,4.333333333
So0823,4,4,4,1,3,4,5,5,5,3,4,4.666666667
Ta0608,3,4,3,1,3,4,3,4,2,3,3.333333333,3.666666667
TA0622,2,4,4,3,2,3,4,4,3,2,3.333333333,3.666666667
Ta2515,,3,4,1,4,3,4,4,1,4,3.5,3.666666667
Ve0710,4,4,4,2,3,4,5,4,2,2,4,4.333333333
Wa1005,2,3,4,4,4,3,4,4,4,2,3,3.666666667
