Persönlicher Code,SE1,SM1,Unterricht
Al0519,,2,1
An0424,,,1
An0505,,,1
An0709,5,3,1
An0827,,,1
Be0322,3,3,1
Be0726,3,4,1
BI0419,3,3,1
Bi0628,4,3,1
Ca0116,3,2,1
Ch0714,2,2,1
Ch0930,2,4,1
Co0219,3,,1
Da0615,1,1,1
Da1419,3,3,1
Do0221,,,1
Do0412,3,3,1
Do0504,4,4,1
Do0719,3,,1
Do0904,4,2,1
Ev1127,,,1
Fr0903,4,3,1
Ga0912,3,2,1
He0726,,,1
He0812,,,1
iv0310,4,1,1
Ja0126,2,3,1
Ja0309,4,,1
Je0226,4,2,1
Je0806,4,3,1
Ju0723,3,2,1
ka0812,3,,1
Ke0719,2,3,1
Ke1719,4,4,1
KH1225,3,1,1
Ki1129,2,3,1
Ki2723,3,3,1
Kr1404,4,3,1
Lu1210,3,,1
Ma0210,,,1
Ma0322,,2,1
Ma0512,4,3,1
Ma0619,3,3,1
Ma0628,2,4,1
Ma0702,4,,1
Ma0711,4,2,1
Ma1187,5,3,1
ma1223,4,2,1
me0217,4,,1
Me0523,3,3,1
Me0718,4,2,1
Ni0826,4,,1
Ni1123,3,2,1
Ni1229,5,2,1
Ol0915,5,3,1
Pe1027,4,2,1
Si0117,1,,1
So0419,4,2,1
So0823,3,2,1
Ta0608,,,1
TA0622,3,2,1
Ta2515,,,1
Ve0710,2,4,1
Wa1005,3,4,1
,4,3,2
,,,2
,,,2
,5,3,2
,4,,2
,4,2,2
,4,4,2
,2,3,2
,3,3,2
,4,3,2
,3,2,2
,2,2,2
,2,4,2
,4,3,2
,4,2,2
,3,3,2
,3,,2
,,3,2
,4,2,2
,4,,2
,4,2,2
,3,2,2
,4,2,2
,4,2,2
,4,2,2
,,,2
,4,2,2
,3,3,2
,4,2,2
,,,2
,5,2,2
,5,2,2
,,,2
,5,2,2
,3,1,2
,4,2,2
,3,3,2
,4,3,2
,3,,2
,4,2,2
,4,2,2
,4,3,2
,3,2,2
,2,2,2
,4,3,2
,5,2,2
,4,3,2
,4,2,2
,4,3,2
,3,2,2
,4,2,2
,4,2,2
,5,2,2
,5,2,2
,5,2,2
,5,2,2
,3,2,2
,4,2,2
,4,2,2
,4,2,2
,3,2,2
,4,,2
,4,3,2
,3,3,2
