Persönlicher Code,SE1,SM1,SE2,SM2
Al0519,,2,4,3
An0424,,,,
An0505,,,,
An0709,5,3,5,3
An0827,,,4,
Be0322,3,3,4,2
Be0726,3,4,4,4
BI0419,3,3,2,3
Bi0628,4,3,3,3
Ca0116,3,2,4,3
Ch0714,2,2,3,2
Ch0930,2,4,2,2
Co0219,3,,2,4
Da0615,1,1,4,3
Da1419,3,3,4,2
Do0221,,,3,3
Do0412,3,3,3,
Do0504,4,4,,3
Do0719,3,,4,2
Do0904,4,2,4,
Ev1127,,,4,2
Fr0903,4,3,3,2
Ga0912,3,2,4,2
He0726,,,4,2
He0812,,,4,2
iv0310,4,1,,
Ja0126,2,3,4,2
Ja0309,4,,3,3
Je0226,4,2,4,2
Je0806,4,3,,
Ju0723,3,2,5,2
ka0812,3,,5,2
Ke0719,2,3,,
Ke1719,4,4,5,2
KH1225,3,1,3,1
Ki1129,2,3,4,2
Ki2723,3,3,3,3
Kr1404,4,3,4,3
Lu1210,3,,3,
Ma0210,,,4,2
Ma0322,,2,4,2
Ma0512,4,3,4,3
Ma0619,3,3,3,2
Ma0628,2,4,2,2
Ma0702,4,,4,3
Ma0711,4,2,5,2
Ma1187,5,3,4,3
ma1223,4,2,4,2
me0217,4,,4,3
Me0523,3,3,3,2
Me0718,4,2,4,2
Ni0826,4,,4,2
Ni1123,3,2,5,2
Ni1229,5,2,5,2
Ol0915,5,3,5,2
Pe1027,4,2,5,2
Si0117,1,,3,2
So0419,4,2,4,2
So0823,3,2,4,2
Ta0608,,,4,2
TA0622,3,2,3,2
Ta2515,,,4,
Ve0710,2,4,4,3
Wa1005,3,4,3,3
